problem,metric,best_method,best_k,value,tool_time_s,d4_time_s,kissat_time_s,total_d4_time_s,total_kissat_time_s,model_count,d4_result,kissat_result,d4_timeout,kissat_timeout
golf_g3_p3_w3,d4_time_s,neighbors,64,0.073,0.09534740447998047,0.073,0.009,0.16834740447998048,0.10434740447998046,12.0,sat,sat,False,False
golf_g3_p3_w3,kissat_time_s,satsuma,16,0.004,0.0,43.196,0.004,43.196,0.004,652962.0,sat,sat,False,False
golf_g3_p3_w3,model_count,neighbors,64,12.0,0.09534740447998047,0.073,0.009,0.16834740447998048,0.10434740447998046,12.0,sat,sat,False,False
golf_g3_p3_w3,d4_speedup_vs_method_k0,neighbors,64,3436.0000000000005,0.09534740447998047,0.073,0.009,0.16834740447998048,0.10434740447998046,12.0,sat,sat,False,False
golf_g3_p3_w3,kissat_speedup_vs_method_k0,gen2,48,1.7999999999999998,0.05386066436767578,17.946,0.005,17.999860664367677,0.05886066436767578,176214.0,sat,sat,False,False
golf_g3_p3_w3,models_ratio_vs_method_k0,neighbors,64,2.7557319223985893e-06,0.09534740447998047,0.073,0.009,0.16834740447998048,0.10434740447998046,12.0,sat,sat,False,False
golf_g3_p3_w3,tool_time_s,gen2,0,0.0,0.0,251.521,0.009,251.521,0.009,4354560.0,sat,sat,False,False
golf_g3_p3_w3,total_d4_time_s,neighbors,32,0.1166765308380127,0.031676530838012695,0.085,0.007,0.1166765308380127,0.038676530838012695,432.0,sat,sat,False,False
golf_g3_p3_w3,total_kissat_time_s,satsuma,16,0.004,0.0,43.196,0.004,43.196,0.004,652962.0,sat,sat,False,False
golf_g3_p3_w3,d4_net_speedup_vs_method_k0,neighbors,32,2149.772522361295,0.031676530838012695,0.085,0.007,0.1166765308380127,0.038676530838012695,432.0,sat,sat,False,False
golf_g3_p3_w3,kissat_net_speedup_vs_method_k0,satsuma,16,1.5,0.0,43.196,0.004,43.196,0.004,652962.0,sat,sat,False,False
golf_g4_p4_w6,d4_time_s,neighbors,380,0.452,10.539054155349731,0.452,4.033,10.991054155349731,14.572054155349733,0.0,unsat,unsat,False,False
golf_g4_p4_w6,kissat_time_s,neighbors,228,3.333,4.382069826126099,1.515,3.333,5.897069826126098,7.715069826126099,0.0,unsat,unsat,False,False
golf_g4_p4_w6,model_count,neighbors,76,0.0,0.518867015838623,0.612,4.333,1.1308670158386231,4.851867015838623,0.0,unsat,unsat,False,False
golf_g4_p4_w6,d4_speedup_vs_method_k0,neighbors,380,79652.65486725663,10.539054155349731,0.452,4.033,10.991054155349731,14.572054155349733,0.0,unsat,unsat,False,False
golf_g4_p4_w6,kissat_speedup_vs_method_k0,neighbors,228,10801.740174017401,4.382069826126099,1.515,3.333,5.897069826126098,7.715069826126099,0.0,unsat,unsat,False,False
golf_g4_p4_w6,tool_time_s,neighbors,0,0.0,0.0,36003.0,36002.2,36003.0,36002.2,,,,True,True
