problém,množina permutací,počet běhů,timeouty d4,míra timeoutů d4,timeouty kissat,míra timeoutů kissat,počet hodnot k
golf_g3_p3_w3,gen2,6,0,0.0,0,0.0,6
golf_g3_p3_w3,neighbors,6,0,0.0,0,0.0,6
golf_g3_p3_w3,nongen,6,0,0.0,0,0.0,6
golf_g3_p3_w3,randtrans,6,0,0.0,0,0.0,6
golf_g3_p3_w3,satsuma,6,0,0.0,0,0.0,6
golf_g4_p4_w6,gen2,6,6,1.0,3,0.5,6
golf_g4_p4_w6,neighbors,6,1,0.16666666666666666,1,0.16666666666666666,6
golf_g4_p4_w6,nongen,6,6,1.0,1,0.16666666666666666,6
golf_g4_p4_w6,randtrans,6,2,0.3333333333333333,1,0.16666666666666666,6
golf_g4_p4_w6,satsuma,6,6,1.0,2,0.3333333333333333,6
golf_g5_p3_w6,gen2,6,6,1.0,0,0.0,6
golf_g5_p3_w6,neighbors,6,6,1.0,0,0.0,6
golf_g5_p3_w6,nongen,6,6,1.0,0,0.0,6
golf_g5_p3_w6,randtrans,6,6,1.0,0,0.0,6
golf_g5_p3_w6,satsuma,6,6,1.0,0,0.0,6
golf_g5_p4_w4,gen2,6,6,1.0,0,0.0,6
golf_g5_p4_w4,neighbors,6,6,1.0,0,0.0,6
golf_g5_p4_w4,nongen,6,6,1.0,0,0.0,6
golf_g5_p4_w4,randtrans,6,6,1.0,0,0.0,6
golf_g5_p4_w4,satsuma,6,6,1.0,0,0.0,6
golf_g6_p2_w3,gen2,6,6,1.0,0,0.0,6
golf_g6_p2_w3,neighbors,6,6,1.0,0,0.0,6
golf_g6_p2_w3,nongen,6,6,1.0,0,0.0,6
golf_g6_p2_w3,randtrans,6,6,1.0,0,0.0,6
golf_g6_p2_w3,satsuma,6,6,1.0,0,0.0,6
latinsq_lsq5,gen2,6,0,0.0,0,0.0,6
latinsq_lsq5,neighbors,6,0,0.0,0,0.0,6
latinsq_lsq5,nongen,6,0,0.0,0,0.0,6
latinsq_lsq5,randtrans,6,0,0.0,0,0.0,6
latinsq_lsq5,satsuma,6,0,0.0,0,0.0,6
latinsq_lsq5,transpositions,6,0,0.0,0,0.0,6
latinsq_lsq6,gen2,6,1,0.16666666666666666,0,0.0,6
latinsq_lsq6,neighbors,6,1,0.16666666666666666,0,0.0,6
latinsq_lsq6,nongen,6,1,0.16666666666666666,0,0.0,6
latinsq_lsq6,randtrans,6,1,0.16666666666666666,0,0.0,6
latinsq_lsq6,satsuma,6,4,0.6666666666666666,0,0.0,6
latinsq_lsq6,transpositions,6,1,0.16666666666666666,0,0.0,6
latinsq_lsq7,gen2,6,6,1.0,0,0.0,6
latinsq_lsq7,neighbors,6,2,0.3333333333333333,0,0.0,6
latinsq_lsq7,nongen,6,6,1.0,0,0.0,6
latinsq_lsq7,randtrans,6,6,1.0,0,0.0,6
latinsq_lsq7,satsuma,6,6,1.0,0,0.0,6
latinsq_lsq8,gen2,6,6,1.0,0,0.0,6
latinsq_lsq8,neighbors,6,6,1.0,0,0.0,6
latinsq_lsq8,nongen,6,6,1.0,0,0.0,6
latinsq_lsq8,randtrans,6,6,1.0,0,0.0,6
latinsq_lsq8,satsuma,6,6,1.0,0,0.0,6
latinsq_lsq9,gen2,6,6,1.0,0,0.0,6
latinsq_lsq9,neighbors,6,6,1.0,0,0.0,6
latinsq_lsq9,nongen,6,6,1.0,0,0.0,6
latinsq_lsq9,randtrans,6,6,1.0,0,0.0,6
latinsq_lsq9,satsuma,6,6,1.0,0,0.0,6
php_pig21_hol20,gen2,6,6,1.0,6,1.0,6
php_pig21_hol20,neighbors,6,2,0.3333333333333333,2,0.3333333333333333,6
php_pig21_hol20,nongen,6,6,1.0,5,0.8333333333333334,6
php_pig21_hol20,randtrans,6,6,1.0,6,1.0,6
php_pig21_hol20,satsuma,6,2,0.3333333333333333,2,0.3333333333333333,6
php_pig25_hol20,gen2,6,6,1.0,6,1.0,6
php_pig25_hol20,neighbors,6,2,0.3333333333333333,1,0.16666666666666666,6
php_pig25_hol20,nongen,6,6,1.0,3,0.5,6
php_pig25_hol20,randtrans,6,6,1.0,3,0.5,6
php_pig25_hol20,satsuma,6,2,0.3333333333333333,1,0.16666666666666666,6
php_pig31_hol30,gen2,6,6,1.0,6,1.0,6
