name,problem,method,k,d4_time_s,d4_status,d4_result,model_count,kissat_time_s,kissat_status,kissat_result,d4_timeout,kissat_timeout,model_count_plus1,d4_speedup_vs_method_k0,kissat_speedup_vs_method_k0,models_ratio_vs_method_k0,tool_time_s,tool_runs,amortized_tool_time_s,total_d4_time_s,total_kissat_time_s,tool_share_total_d4,tool_share_total_kissat,d4_net_speedup_vs_method_k0,kissat_net_speedup_vs_method_k0
golf_g3_p3_w3_gen2_k00,golf_g3_p3_w3,gen2,0,251.521,s,sat,4354560.0,0.009,s,sat,False,False,4354561.0,1.0,1.0,1.0,0.0,1,0.0,251.521,0.009,0.0,0.0,1.0,1.0
golf_g3_p3_w3_gen2_k016,golf_g3_p3_w3,gen2,16,10.569,s,sat,255168.0,0.006,s,sat,False,False,255169.0,23.797994133787487,1.4999999999999998,0.0585978835978836,0.008374691009521484,1,0.008374691009521484,10.577374691009522,0.014374691009521484,0.0007917551617642647,0.5825997236374869,23.779151949092427,0.6261004145437696
golf_g3_p3_w3_gen2_k032,golf_g3_p3_w3,gen2,32,16.645,s,sat,176272.0,0.008,s,sat,False,False,176273.0,15.110904175428056,1.125,0.040479864785420344,0.02109074592590332,1,0.02109074592590332,16.666090745925903,0.02909074592590332,0.0012654884848181355,0.7249984575721536,15.091781500198861,0.3093767352313271
golf_g3_p3_w3_gen2_k048,golf_g3_p3_w3,gen2,48,17.946,s,sat,176214.0,0.005,s,sat,False,False,176215.0,14.015435194472303,1.7999999999999998,0.04046654541446208,0.05386066436767578,1,0.05386066436767578,17.999860664367677,0.05886066436767578,0.0029922822944011868,0.9150536261574067,13.973497055891556,0.152903472916668
golf_g3_p3_w3_gen2_k064,golf_g3_p3_w3,gen2,64,27.235,s,sat,176212.0,0.009,s,sat,False,False,176213.0,9.235212043326602,1.0,0.04046608612580835,0.07184553146362305,1,0.07184553146362305,27.306845531463622,0.08084553146362304,0.0026310447093144044,0.888676593040277,9.21091378754061,0.11132340695972302
golf_g3_p3_w3_gen2_k080,golf_g3_p3_w3,gen2,80,49.794,s,sat,176212.0,0.013,s,sat,False,False,176213.0,5.051231072016709,0.6923076923076923,0.04046608612580835,0.09556055068969727,1,0.09556055068969727,49.889560550689694,0.10856055068969726,0.0019154418205909853,0.8802511601368126,5.041555732775899,0.08290304298220669
golf_g3_p3_w3_neighbors_k00,golf_g3_p3_w3,neighbors,0,250.828,s,sat,4354560.0,0.007,s,sat,False,False,4354561.0,1.0,1.0,1.0,0.0,1,0.0,250.828,0.007,0.0,0.0,1.0,1.0
golf_g3_p3_w3_neighbors_k016,golf_g3_p3_w3,neighbors,16,0.945,s,sat,17712.0,0.006,s,sat,False,False,17713.0,265.426455026455,1.1666666666666667,0.004067460317460318,0.01440119743347168,1,0.01440119743347168,0.9594011974334716,0.020401197433471678,0.015010610234797326,0.7058996159629354,261.44224196404895,0.34311711470990885
golf_g3_p3_w3_neighbors_k032,golf_g3_p3_w3,neighbors,32,0.085,s,sat,432.0,0.007,s,sat,False,False,433.0,2950.917647058823,1.0,9.92063492063492e-05,0.031676530838012695,1,0.031676530838012695,0.1166765308380127,0.038676530838012695,0.2714901669641743,0.8190116887856926,2149.772522361295,0.18098831121430742
golf_g3_p3_w3_neighbors_k048,golf_g3_p3_w3,neighbors,48,0.087,s,sat,36.0,0.005,s,sat,False,False,37.0,2883.0804597701153,1.4,8.267195767195768e-06,0.06395101547241211,1,0.06395101547241211,0.1509510154724121,0.06895101547241211,0.4236540925032719,0.9274847518090499,1661.651623972291,0.10152134746733005
golf_g3_p3_w3_neighbors_k064,golf_g3_p3_w3,neighbors,64,0.073,s,sat,12.0,0.009,s,sat,False,False,13.0,3436.0000000000005,0.7777777777777779,2.7557319223985893e-06,0.09534740447998047,1,0.09534740447998047,0.16834740447998048,0.10434740447998046,0.5663728809749424,0.9137496515140758,1489.9427809700978,0.06708360437794102
golf_g3_p3_w3_neighbors_k080,golf_g3_p3_w3,neighbors,80,0.085,s,sat,12.0,0.009,s,sat,False,False,13.0,2950.917647058823,0.7777777777777779,2.7557319223985893e-06,0.16374707221984863,1,0.16374707221984863,0.24874707221984865,0.17274707221984864,0.658287435339641,0.9479007089130516,1008.3656372779824,0.040521670845404346
golf_g3_p3_w3_nongen_k00,golf_g3_p3_w3,nongen,0,173.392,s,sat,4354560.0,0.006,s,sat,False,False,4354561.0,1.0,1.0,1.0,0.0,1,0.0,173.392,0.006,0.0,0.0,1.0,1.0
golf_g3_p3_w3_nongen_k016,golf_g3_p3_w3,nongen,16,2.874,s,sat,47064.0,0.007,s,sat,False,False,47065.0,60.331245650661096,0.8571428571428571,0.010807980599647266,0.022103071212768555,1,0.022103071212768555,2.8961030712127687,0.029103071212768554,0.007632004341445175,0.7594755567608669,59.87079732193045,0.20616380849068555
