problém,nejlepší množina permutací,nejlepší k,počet modelů,poměr vůči k=0,redukční faktor vůči k=0,čas d4 [s],čas nástroje [s],timeout d4
golf_g3_p3_w3,neighbors,64,12.0,2.7557319223985893e-06,362880.0,0.073,0.09534740447998047,False
golf_g4_p4_w6,neighbors,76,0.0,,,0.612,0.518867015838623,False
latinsq_lsq5,transpositions,96,5.0,3.1001984126984125e-05,32256.0,2.322,4.2695677280426025,False
latinsq_lsq6,transpositions,168,252.0,,,35.527,30.06076955795288,False
latinsq_lsq7,neighbors,272,268944.0,,,14.799,4.746349811553955,False
php_pig21_hol20,neighbors,168,0.0,,,23455.4,0.2965872287750244,False
php_pig25_hol20,neighbors,200,0.0,,,207.184,0.4154164791107178,False
php_pig31_hol30,neighbors,558,0.0,,,15807.1,2.9533607959747314,False
php_pig35_hol15,neighbors,105,0.0,,,3.046,0.17960739135742188,False
php_pig40_hol10,gen2,0,0.0,,,313.555,0.0,False
queens_n10,satsuma,80,124.0,0.1712707182320442,5.838709677419355,0.263,0.0,False
queens_n11,satsuma,120,679.0,0.2533582089552239,3.9469808541973492,1.905,0.0039463043212890625,False
queens_n12,dihedral_gen,84,5173.0,0.3642957746478873,2.745022230813841,5.678,0.0,False
queens_n13,satsuma,165,13869.0,0.18815118298241806,5.314874900858029,8.781,0.0,False
queens_n14,dihedral_gen,78,132706.0,0.36298537183120166,2.7549319548475575,74.935,0.0,False
rcsums_rc10_rcrand2,sums_neighbors,110,87.0,2.8009581208468552e-05,35702.06896551724,0.114,0.04292106628417969,False
rcsums_rc12_rcrand2,sums_neighbors,124,131.0,3.2787213487308094e-06,304996.9465648855,0.111,0.06735110282897949,False
rcsums_rc14_rcrand13,satsuma,0,0.0,,,0.179,0.0,False
