problém,solver,nejlepší množina permutací,nejlepší k,čas d4 [s],zrychlení solveru vůči k=0,čas nástroje [s],celkový čas [s],počet modelů,výsledek,timeout
golf_g3_p3_w3,d4,neighbors,64,0.073,3436.0000000000005,0.09534740447998047,0.16834740447998048,12.0,sat,False
golf_g4_p4_w6,d4,neighbors,380,0.452,79652.65486725663,10.539054155349731,10.991054155349731,0.0,unsat,False
golf_g5_p3_w6,d4,satsuma,0,36000.4,1.0,0.0,36000.4,,,True
golf_g5_p4_w4,d4,neighbors,320,5325.0,6.761239436619718,9.29016637802124,5334.290166378021,,,True
golf_g6_p2_w3,d4,gen2,132,3009.7,3.9910622321161577,0.2858083248138428,3009.9858083248137,,,True
latinsq_lsq5,d4,neighbors,24,0.056,76.14285714285714,0.02752852439880371,0.0835285243988037,1344.0,sat,False
latinsq_lsq6,d4,neighbors,84,0.225,40129.333333333336,0.31779956817626953,0.5427995681762695,7184.0,sat,False
latinsq_lsq7,d4,neighbors,340,14.22,1010.351617440225,6.706852436065674,20.926852436065673,268944.0,sat,False
latinsq_lsq8,d4,satsuma,500,3223.65,8.897119724535852,0.28479886054992676,3223.93479886055,,,True
latinsq_lsq9,d4,gen2,710,5172.25,6.663560346077626,5.822478532791138,5178.072478532791,,,True
php_pig21_hol20,d4,satsuma,420,0.031,1161290.322580645,0.009088277816772461,0.04008827781677246,0.0,unsat,False
php_pig25_hol20,d4,satsuma,400,0.035,1028585.7142857142,0.028102636337280273,0.06310263633728028,0.0,unsat,False
php_pig31_hol30,d4,satsuma,930,0.045,800017.7777777779,0.06365013122558594,0.10865013122558594,0.0,unsat,False
php_pig35_hol15,d4,satsuma,420,0.022,1636481.8181818181,0.023751497268676758,0.04575149726867676,0.0,unsat,False
php_pig40_hol10,d4,satsuma,160,0.03,12046.833333333332,0.01616668701171875,0.04616668701171875,0.0,unsat,False
queens_n10,d4,satsuma,60,0.263,2.768060836501901,0.0,0.263,150.0,sat,False
queens_n11,d4,dihedral_gen,48,1.608,1.6828358208955223,0.004009723663330078,1.6120097236633302,964.0,sat,False
queens_n12,d4,satsuma,140,3.293,1.2429395687822653,0.0,3.293,7299.0,sat,False
queens_n13,d4,satsuma,165,8.781,2.499943058877121,0.0,8.781,13869.0,sat,False
queens_n14,d4,dihedral_gen,39,66.047,3.0568837343104156,0.0,66.047,132810.0,sat,False
rcsums_rc10_rcrand2,d4,sums_neighbors,88,0.081,17.555555555555554,0.03142809867858887,0.11242809867858887,99.0,sat,False
rcsums_rc10_rcrand5,d4,satsuma,44,2685.79,2.856813079205746,0.0,2685.79,,,True
rcsums_rc12_rcrand2,d4,sums_neighbors,124,0.111,1678.4414414414414,0.06735110282897949,0.17835110282897948,131.0,sat,False
rcsums_rc13_rcrand10,d4,satsuma,108,3803.01,3.6299141995419415,0.0047223567962646484,3803.0147223567965,,,True
rcsums_rc14_rcrand13,d4,satsuma,84,0.06,2.9833333333333334,0.0,0.06,0.0,unsat,False
rcsums_rc15_rcrand3,d4,sums_neighbors,240,3853.78,3.085178707658455,0.2356126308441162,3854.0156126308443,,,True
