problém,počet běhů,počet množin permutací,hodnoty k,timeouty d4,timeouty kissat,nejlepší celkový d4: množina,nejlepší celkový d4: k,nejlepší celkový d4 [s],čisté zrychlení d4,nejlepší celkový kissat: množina,nejlepší celkový kissat: k,nejlepší celkový kissat [s],čisté zrychlení kissat,největší redukce modelů: množina,největší redukce modelů: k,nejmenší počet modelů,redukční faktor modelů
golf_g3_p3_w3,30,5,"0,16,32,48,64,80",0,0,neighbors,32,0.1166765308380127,2149.772522361295,satsuma,16,0.004,1.5,neighbors,64.0,12.0,362880.0
golf_g4_p4_w6,30,5,"0,76,152,228,304,380",21,8,neighbors,76,1.1308670158386231,31836.634631439014,neighbors,76,4.851867015838623,7420.2775720095,neighbors,76.0,0.0,
golf_g5_p3_w6,30,5,"0,90,180,270,360,450",30,0,satsuma,0,36000.4,1.0,satsuma,90,1.258840717315674,3.2100963564452742,,,,
golf_g5_p4_w4,30,5,"0,80,160,240,320,400",30,0,neighbors,320,5334.290166378021,6.749464104320822,satsuma,0,1.868,1.0,,,,
golf_g6_p2_w3,30,5,"0,44,88,132,176,220",30,0,gen2,132,3009.9858083248137,3.9906832672693358,neighbors,0,0.005,1.0,,,,
latinsq_lsq5,36,6,"0,24,48,72,96,120",0,0,neighbors,24,0.0835285243988037,51.04842963155553,neighbors,0,0.003,1.0,transpositions,96.0,5.0,32256.0
latinsq_lsq6,36,6,"0,42,84,126,168,210",9,0,neighbors,84,0.5427995681762695,16634.31684431237,nongen,0,0.003,1.0,transpositions,168.0,252.0,
latinsq_lsq7,30,5,"0,68,136,204,272,340",26,0,neighbors,272,19.545349811553955,735.0699853684397,satsuma,68,0.0220832405090332,2.1283108328587255,neighbors,272.0,268944.0,
latinsq_lsq8,30,5,"0,100,200,300,400,500",30,0,satsuma,500,3223.93479886055,8.896333762747599,neighbors,0,0.003,1.0,,,,
latinsq_lsq9,30,5,"0,142,284,426,568,710",30,0,gen2,710,5178.072478532791,6.656073617492623,neighbors,0,0.008,1.0,,,,
php_pig21_hol20,30,5,"0,84,168,252,336,420",22,21,satsuma,420,0.04008827781677246,898018.123016949,satsuma,420,0.035088277816772456,1026086.2669865778,neighbors,168.0,0.0,
php_pig25_hol20,30,5,"0,100,200,300,400,500",22,14,satsuma,400,0.06310263633728028,570507.067368457,satsuma,500,0.05546682548522949,649036.6031419375,neighbors,200.0,0.0,
php_pig31_hol30,30,5,"0,186,372,558,744,930",25,24,satsuma,930,0.10865013122558594,331346.1253466227,satsuma,930,0.12065013122558593,298400.0069812204,neighbors,558.0,0.0,
php_pig35_hol15,30,5,"0,105,210,315,420,525",11,0,satsuma,420,0.04575149726867676,786916.3229472879,satsuma,210,0.03291134071350098,8806.022292525751,neighbors,105.0,0.0,
php_pig40_hol10,30,5,"0,80,160,240,320,400",0,0,satsuma,160,0.04616668701171875,7828.263698200014,satsuma,160,0.03016668701171875,6.464084038272053,gen2,0.0,0.0,
queens_n10,12,2,"0,20,40,60,80,100",0,0,satsuma,60,0.263,2.768060836501901,satsuma,0,0.026,1.0,satsuma,80.0,124.0,5.838709677419355
queens_n11,12,2,"0,24,48,72,96,120",0,0,dihedral_gen,48,1.6120097236633302,1.6786499239288402,satsuma,0,0.024,1.0,satsuma,120.0,679.0,3.9469808541973492
queens_n12,12,2,"0,28,56,84,112,140",0,0,satsuma,140,3.293,1.2429395687822653,dihedral_gen,28,0.006,7.5,dihedral_gen,84.0,5173.0,2.745022230813841
queens_n13,12,2,"0,33,66,99,132,165",0,0,satsuma,165,8.781,2.499943058877121,satsuma,0,0.028,1.0,satsuma,165.0,13869.0,5.314874900858029
queens_n14,12,2,"0,39,78,117,156,195",0,0,dihedral_gen,39,66.047,3.0568837343104156,satsuma,78,0.029,1.6206896551724137,dihedral_gen,78.0,132706.0,2.7549319548475575
rcsums_rc10_rcrand2,12,2,"0,22,44,66,88,110",0,0,sums_neighbors,88,0.11242809867858887,12.648083679376583,satsuma,44,0.003,1.6666666666666667,sums_neighbors,110.0,87.0,35702.06896551724
rcsums_rc10_rcrand5,12,2,"0,22,44,66,88,110",12,0,satsuma,44,2685.79,2.856813079205746,satsuma,110,0.004,2.0,,,,
rcsums_rc12_rcrand2,12,2,"0,31,62,93,124,155",0,0,sums_neighbors,124,0.17835110282897948,1044.6080626630574,satsuma,124,0.005,1.2,sums_neighbors,124.0,131.0,304996.9465648855
rcsums_rc13_rcrand10,12,2,"0,36,72,108,144,180",12,0,satsuma,108,3803.0147223567965,3.6299096921310476,satsuma,72,0.017,1.764705882352941,,,,
rcsums_rc14_rcrand13,12,2,"0,42,84,126,168,210",0,0,satsuma,84,0.06,2.9833333333333334,satsuma,84,0.038,7.210526315789474,satsuma,0.0,0.0,
rcsums_rc15_rcrand3,12,2,"0,48,96,144,192,240",12,0,sums_neighbors,240,3854.0156126308443,3.0849900973504027,satsuma,144,0.008,3.625,,,,
